"BehaviorSpace results (NetLogo 6.3.0)"
"Env_Aw_English.nlogo"
"experiment-High"
"11/13/2023 20:12:00:741 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","sociability_range_type","recyc_perc_g3","sociability_max","humanos_grupo1","humanos_grupo2","learning_rate","humanos_grupo3","show_eco_level?","desplazamiento_max","selected_campaign","desv_est_res","media_res","media_campaign_strength","recyc_perc_g1","change_sociability_behavior?","recyc_perc_g2","campaign_size","media_campaign_frequency","[step]","eco_level_pop"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","128","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","129","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","130","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","131","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","132","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","133","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","134","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","135","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","136","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","137","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","138","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","139","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","140","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","141","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","142","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","143","0"
